Date,Source,Type,Unit,Value
2024-07-18T18:46:13-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,76
2024-07-18T18:46:19-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,71
2024-07-18T18:46:26-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,72
2024-07-18T18:46:33-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,79
2024-07-18T18:46:40-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,86
2024-07-18T18:46:46-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,88
2024-07-18T18:46:53-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,88
2024-07-18T18:47:00-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,86
2024-07-18T18:47:06-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,90
2024-07-18T18:47:13-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,102
2024-07-18T18:47:20-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,116
2024-07-18T18:47:27-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,130
2024-07-18T18:47:33-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,137
2024-07-18T18:47:40-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,138
2024-07-18T18:47:47-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,135
2024-07-18T18:47:54-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,138
2024-07-18T18:48:00-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,144
2024-07-18T18:48:07-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,149
2024-07-18T18:48:14-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,154
2024-07-18T18:48:20-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,154
2024-07-18T18:48:27-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,157
2024-07-18T18:48:34-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,159
2024-07-18T18:48:41-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,156
2024-07-18T18:48:47-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,160
2024-07-18T18:48:54-08:00,WHOOP,HKQuantityTypeIdentifierHeartRate,count/min,149
